date,title,sentence,sentiment
2009-05-12,기자간담회자료(0905),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-05-12,기자간담회자료(0905),"최근 국내 경기는 내수 부진에도 불구하고 수출 감소세 둔화와 적극적인 재정․통화정책에 힘입어 하강속도가 완만해지고 있으나 세계경제 침체 지속, 고용사정 악화 등으로 향후 성장의 하향위험이 상존하고 있는 것으로 판단됨",dovish
2009-05-12,기자간담회자료(0905),"소비자물가는 국제유가의 안정, 경기부진에 따른 수요압력 완화 등으로 오름세가 둔화되었으며 앞으로도 이러한 추세가 이어질 것으로 보임",dovish
2009-05-12,기자간담회자료(0905),부동산시장에서는 수도권 일부에서 거래량이 늘어나면서 가격이 반등하는 움직임을 나타내었음,hawkish
2009-05-12,기자간담회자료(0905),"금융시장에서는 환율, 주가 등 가격변수가 개선 추세를 지속하는 가운데 가계 및 중소기업 대출이 꾸준히 늘어나고 있으나 신용위험에 대한 우려와 시중자금의 단기화 현상이 지속되고 있음",neutral
2009-05-12,기자간담회자료(0905),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 경기 회복을 뒷받침하고 금융시장 안정을 도모하는 데 주안점을 두고 운용해 나갈 것임,dovish
2009-06-11,기자간담회자료(0906),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-06-11,기자간담회자료(0906),최근 국내 경기는 적극적인 재정․통화정책 등에 힘입어 내수부진이 완화되고 생산활동이 호전되는 등 하강을 멈춘 모습이나 국제원자재가격 상승 및 주요 선진국의 경기부진으로 향후 성장의 하향위험이 상존하고 있는 것으로 판단됨,neutral
2009-06-11,기자간담회자료(0906),"소비자물가는 경기부진에 따른 수요압력 완화, 환율의 하향안정 등으로 오름세가 둔화되었음",dovish
2009-06-11,기자간담회자료(0906),부동산가격은 소폭의 상승세가 지속되었음,hawkish
2009-06-11,기자간담회자료(0906),"금융시장에서는 환율, 주가 등 가격변수가 안정적인 움직임을 보이는 가운데 가계 및 중소기업 대출이 꾸준히 늘어나고 있으나 신용위험에 대한 우려와 시중자금의 단기화 현상이 해소되지 않은 상황임",neutral
2009-06-11,기자간담회자료(0906),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 및 금융시장의 개선 움직임이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,dovish
2009-07-09,기자간담회자료(0907),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-07-09,기자간담회자료(0907),"최근 국내 경기는 적극적인 재정․통화정책 등에 힘입어 내수 및 수출부진이 완화되면서 그간의 하강세에서 벗어나는 모습이나 국제원자재가격 상승, 주요 선진국의 경기부진 등으로 향후 성장경로의 불확실성이 높은 것으로 판단됨",neutral
2009-07-09,기자간담회자료(0907),소비자물가는 경기부진에 따른 수요압력 완화 등으로 오름세가 계속 둔화되었음,dovish
2009-07-09,기자간담회자료(0907),부동산가격은 소폭의 상승세가 지속되었음,hawkish
2009-07-09,기자간담회자료(0907),"금융시장에서는 환율, 주가 등 가격변수가 안정적인 움직임을 이어가는 가운데 주택담보대출을 중심으로 은행대출이 꾸준히 증가하였음",neutral
2009-07-09,기자간담회자료(0907),한편 신용위험에 대한 우려와 시중자금의 단기화 현상은 해소되지 않은 상황임,dovish
2009-07-09,기자간담회자료(0907),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 움직임 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,dovish
2009-08-11,기자간담회자료(0908),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-08-11,기자간담회자료(0908),최근 국내 경기는 적극적인 재정․통화정책 및 신흥시장국 경제상황 호전에 힘입어 내수와 수출 부진이 더욱 완화되는 등 개선 움직임을 지속하고 있으나 주요 선진국의 경기회복 지연 가능성 등으로 향후 성장경로의 불확실성이 상존하고 있는 것으로 판단됨,neutral
2009-08-11,기자간담회자료(0908),"소비자물가는 수요압력 완화, 환율 하락 등의 영향으로 오름세가 계속 둔화되었음",dovish
2009-08-11,기자간담회자료(0908),부동산가격은 상승세가 지속되었음,hawkish
2009-08-11,기자간담회자료(0908),금융시장에서는 시장금리 및 주가가 상승하는 가운데 주택담보대출이 계속 큰 폭으로 증가하였음,hawkish
2009-08-11,기자간담회자료(0908),한편 신용위험에 대한 우려와 시중자금의 단기화 현상은 해소되지 않은 상황임,dovish
2009-08-11,기자간담회자료(0908),앞으로 통화정책은 당분간 금융완화기조를 유지하면서 최근의 경기 개선 움직임 및 금융시장 안정이 지속되도록 하는 데 주안점을 두고 운용해 나갈 것임,dovish
2009-09-10,기자간담회자료(0909),금융통화위원회는 다음 통화정책방향 결정시까지 한국은행 기준금리를 현 수준(2.00%)에서 유지하여 통화정책을 운용하기로 하였음,neutral
2009-09-10,기자간담회자료(0909),최근 국내 경기는 세계경제 상황 호전 등으로 내수 및 수출이 회복 움직임을 보이고 생산이 증가하는 등 개선 추세를 이어가고 있으나 향후 성장경로의 불확실성은 상존하고 있는 것으로 판단됨,neutral
2009-09-10,기자간담회자료(0909),소비자물가는 상승률이 다소 높아졌으나 대체로 안정된 모습을 나타내고 있음,neutral
2009-09-10,기자간담회자료(0909),부동산가격은 오름세가 지속되었음,hawkish
2009-09-10,기자간담회자료(0909),금융시장에서는 시장금리 및 주가가 상승한 가운데 주택담보대출이 큰 폭의 증가를 지속하였음,hawkish
